Directory:  /datastaging/DV3/sap/out/PDM1517
Name:       RECIPE_Header_9_20181218090634.txt
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Recipe|Description|Change number|Primary Output|Division|Authorization Group|Validity From|Validity To|Created by|Created on|Changed by|Changed on|System Status|User Status|Formula|Flag
0000000000000000000000000000000000007827|CU GrnWks Ntrl DilutClnr SplyTng 12/828ml CA|000000003816|120309.001|11|ALL|20090610|99991231|ALAVICTO|20080512|DBAYDO|20090610|Released|Released|000000120318|
0000000000000000000000000000000000007827|CU GrnWks Ntrl DilutClnr SplyTng 12/828ml CA|000000007286|120309.001|11|ALL|20090610|99991231|ALAVICTO|20080512|DBAYDO|20090610|Released|Released|000000120318|
0000000000000000000000000000000000007827|CU GrnWks Ntrl DilutClnr SplyTng 12/828ml CA|000000009079|120309.001|11|ALL|20090610|99991231|ALAVICTO|20080512|DBAYDO|20090610|Obsolete|Released Submitted - Obsolete|000000120318|
0000000000000000000000000000000000007828|AltRcp ClxBlch Liq Reg 8/60 CON1||120309.001|10|ALL|00010101|20080513|RWOOD|20080512|RWOOD|20080512|Released|Released|000000120320|
0000000000000000000000000000000000007828|AltRcp ClxBlch Liq Reg 8/60 CON1|000000002109|120309.001|10|ALL|20080514|99991231|RWOOD|20080512|CHERRMAN|20080520|Released|Released|000000120320|
0000000000000000000000000000000000007828|AltRcp ClxBlch Liq Reg 8/60 CON1|000000002585|120309.001|10|ALL|20080514|99991231|RWOOD|20080512|CHERRMAN|20080520|Obsolete|Released Submitted - Obsolete|000000120320|
0000000000000000000000000000000000007829|MTW ClxBlchLiq 6/86fo UpcBrcd SelfMfg - LA||||ALL|00010101|99991231|JWEBSTER|20080512|JWEBSTER|20080512|Released|Released|000000120331|
0000000000000000000000000000000000007830|MTW UClxBlchLiq 6/86fo GENERIC - FAIR||||ALL|00010101|99991231|JWEBSTER|20080512|JWEBSTER|20080512|Released|Released|000000120333|
0000000000000000000000000000000000007831|MTW UClxBlchLiq 6/86fo GENERIC - TAMPA||||ALL|00010101|99991231|JWEBSTER|20080512|JWEBSTER|20080512|Released|Released|000000120335|
0000000000000000000000000000000000007832|MTW ClxBlchLiq 6/86fo UPCBrcd SelfMfg-Tampa|||10|ALL|00010101|99991231|JWEBSTER|20080512|JWEBSTER|20080512|Released|Released|000000120337|
0000000000000000000000000000000000007833|MTW ClxBlchLiq 6/86fo Disp Imp Wpr-LA&FF||||ALL|00010101|99991231|JWEBSTER|20080512|JWEBSTER|20080512|Released|Released|000000120339|
0000000000000000000000000000000000007834|MTW ClxBlchLiq 6/86fo Disp LA&FAIR||||ALL|00010101|99991231|JWEBSTER|20080512|JWEBSTER|20080512|Released|Released|000000120341|
0000000000000000000000000000000000007835|MTW ClxBlchLiq 6/86fo DispIWPwr - TAMPA||||ALL|00010101|99991231|JWEBSTER|20080512|JWEBSTER|20080512|Released|Released|000000120343|
0000000000000000000000000000000000007836|MTW UClxBlchLiq 6/86fo NWRT ZH - LA||||ALL|00010101|99991231|JWEBSTER|20080512|JWEBSTER|20080512|Released|Released|000000120345|
0000000000000000000000000000000000007837|MTW UClxBlchLiq 6/86fo GENERIC-LC MDSTO||||ALL|00010101|99991231|JWEBSTER|20080512|JWEBSTER|20080512|Released|Released|000000120347|
0000000000000000000000000000000000007838|ClxBlch Liq FrMdw 3/182fo Nellie||||ALL|00010101|99991231|JWEBSTER|20080512|JWEBSTER|20080512|Released|Released|000000120349|
0000000000000000000000000000000000007839|ClxBlch Liq Lmn 3/182fo Nellie||000000000000012751|10|ALL|00010101|99991231|JWEBSTER|20080512|JWEBSTER|20080512|Released|Released|000000120351|
0000000000000000000000000000000000007840|CU ClxBlch Liq FrMdw 182fo Nellie||000000000000012751|10|ALL|00010101|99991231|JWEBSTER|20080512|KKLOTTER|20080925|Released|Released|000000120353|
0000000000000000000000000000000000007841|GrnWks Ntrl Wps FreeClr 12/30ct||000000000000012854|11|ALL|00010101|99991231|KKUPSIS|20080513|KKUPSIS|20080513|Released|Released|000000120360|
0000000000000000000000000000000000007841|GrnWks Ntrl Wps FreeClr 12/30ct|000000003379|000000000000012854|11|ALL|00010101|99991231|KKUPSIS|20080513|KKUPSIS|20080513|Obsolete|Released Submitted - Obsolete|000000120360|
0000000000000000000000000000000000007842|CU GrnWks Ntrl Wps FreeClr 30ct||120358.001|11|ALL|00010101|99991231|KKUPSIS|20080513|KKUPSIS|20080513|Released|Released|000000120362|
0000000000000000000000000000000000007842|CU GrnWks Ntrl Wps FreeClr 30ct|000000003379|120358.001|11|ALL|00010101|99991231|KKUPSIS|20080513|KKUPSIS|20080513|Obsolete|Released Submitted - Obsolete|000000120362|
0000000000000000000000000000000000007843|GrnWks Ntrl Wps FreeClr 6/62ct||000000000000012856|11|ALL|00010101|99991231|KKUPSIS|20080513|KKUPSIS|20080513|Released|Released|000000120369|
0000000000000000000000000000000000007843|GrnWks Ntrl Wps FreeClr 6/62ct|000000003379|000000000000012856|11|ALL|00010101|99991231|KKUPSIS|20080513|KKUPSIS|20080513|Obsolete|Released Submitted - Obsolete|000000120369|
0000000000000000000000000000000000007844|GrnWks Ntrl Wps Or 6/62ct||000000000000012855|11|ALL|00010101|99991231|KKUPSIS|20080513|KKUPSIS|20080513|Released|Released|000000120371|
0000000000000000000000000000000000007844|GrnWks Ntrl Wps Or 6/62ct|000000007286|000000000000012855|11|ALL|00010101|99991231|KKUPSIS|20080513|KKUPSIS|20080513|Released|Released|000000120371|
0000000000000000000000000000000000007844|GrnWks Ntrl Wps Or 6/62ct|000000009122|000000000000012855|11|ALL|00010101|99991231|KKUPSIS|20080513|KKUPSIS|20080513|Released|Released|000000120371|
0000000000000000000000000000000000007844|GrnWks Ntrl Wps Or 6/62ct|000000017657|000000000000012855|11|ALL|00010101|99991231|KKUPSIS|20080513|KKUPSIS|20080513|Obsolete|Released Submitted - Obsolete|000000120371|
0000000000000000000000000000000000007845|CU GrnWks Ntrl Wps FreeClr 62ct||120368.001|11|ALL|00010101|99991231|KKUPSIS|20080513|KKUPSIS|20080513|Released|Released|000000120373|
0000000000000000000000000000000000007845|CU GrnWks Ntrl Wps FreeClr 62ct|000000003379|120368.001|11|ALL|00010101|99991231|KKUPSIS|20080513|KKUPSIS|20080513|Obsolete|Released Submitted - Obsolete|000000120373|
0000000000000000000000000000000000007846|CU GrnWks Ntrl Wps Or 62ct||120368.001|11|ALL|00010101|20080617|KKUPSIS|20080513|KKUPSIS|20080513|Released|Released|000000120377|
0000000000000000000000000000000000007846|CU GrnWks Ntrl Wps Or 62ct|000000002246|120366.001|11|ALL|20080618|20100401|KKUPSIS|20080513|JBECKSTE|20080623|Released|Released|000000120377|
0000000000000000000000000000000000007846|CU GrnWks Ntrl Wps Or 62ct|000000005263|120366.001|11|ALL|20100402|20100512|KKUPSIS|20080513|FMCCAIN|20100402|Released|Released|000000120377|
0000000000000000000000000000000000007846|CU GrnWks Ntrl Wps Or 62ct|000000005545|120366.001|11|ALL|20100513|20100517|KKUPSIS|20080513|FMCCAIN|20100513|Released|Released|000000120377|
0000000000000000000000000000000000007846|CU GrnWks Ntrl Wps Or 62ct|000000005615|120366.001|11|ALL|20100518|20110728|KKUPSIS|20080513|FMCCAIN|20100518|Released|Released|000000120377|
0000000000000000000000000000000000007846|CU GrnWks Ntrl Wps Or 62ct|000000007286|120366.001|11|ALL|20100518|20110728|KKUPSIS|20080513|FMCCAIN|20100518|Released|Released|000000120377|
0000000000000000000000000000000000007846|CU GrnWks Ntrl Wps Or 62ct|000000008128|120366.001|11|ALL|20110729|20110817|KKUPSIS|20080513|DPHILLI2|20110729|Released|Released|000000120377|
0000000000000000000000000000000000007846|CU GrnWks Ntrl Wps Or 62ct|000000008294|120366.001|11|ALL|20110818|20111205|KKUPSIS|20080513|DBAYDO|20110819|Released|Released|000000120377|
0000000000000000000000000000000000007846|CU GrnWks Ntrl Wps Or 62ct|000000008787|120366.001|11|ALL|20111206|20120215|KKUPSIS|20080513|DPHILLI2|20111206|Released|Released|000000120377|
0000000000000000000000000000000000007846|CU GrnWks Ntrl Wps Or 62ct|000000009121|120366.001|11|ALL|20120216|99991231|KKUPSIS|20080513|CBALLARD|20120216|Released|Released|000000120377|
0000000000000000000000000000000000007846|CU GrnWks Ntrl Wps Or 62ct|000000017684|120366.001|11|ALL|20120216|99991231|KKUPSIS|20080513|CBALLARD|20120216|Obsolete|Released Submitted - Obsolete|000000120377|
0000000000000000000000000000000000007847|KFD LGHTRFLD BTL 4/2X64FO VP CON1||000000000000009282|14|ALL|00010101|20080916|EMETZ|20080513|EMETZ|20080513|Released|Released|000000120381|
0000000000000000000000000000000000007847|KFD LGHTRFLD BTL 4/2X64FO VP CON1|000000002601|000000000000009282|14|ALL|20080917|20100318|EMETZ|20080513|EMETZ|20080922|Released|Released|000000120381|
0000000000000000000000000000000000007847|KFD LGHTRFLD BTL 4/2X64FO VP CON1|000000005185|000000000000009282|14|ALL|20100319|20100328|EMETZ|20080513|PHUNTER|20100319|Released|Released|000000120381|
0000000000000000000000000000000000007847|KFD LGHTRFLD BTL 4/2X64FO VP CON1|000000005226|000000000000009282|14|ALL|20100329|99991231|EMETZ|20080513|PHUNTER|20100329|Released|Released|000000120381|
0000000000000000000000000000000000007848|AltRcp ASSM-FM Brita Bulk PT Filter||000000000000009282|15|ALL|00010101|99991231|APROWELL|20080513|APROWELL|20080513|Released|Released|000000120383|
